order_id,customer_id,product_id,category,price,discount,quantity,payment_method,order_date,delivery_time_days,region,returned,total_amount,shipping_cost,profit_margin,customer_age,customer_gender,order_year,order_month,order_month_name,profit_amount,calculated_profit_margin
O100000,C17270,P234890,Home,164.08,0.15,1,Credit Card,2023-12-23,4,West,No,139.47,7.88,31.17,60,Female,2023,12,December,131.59,94.35003943500395
O100001,C17603,P228204,Grocery,24.73,0.0,1,Credit Card,2025-04-03,6,South,No,24.73,4.6,-2.62,37,Male,2025,4,April,20.130000000000003,81.39911039223617
O100002,C10860,P213892,Electronics,175.58,0.05,1,Credit Card,2024-10-08,4,North,No,166.8,6.58,13.44,34,Male,2024,10,October,160.22,96.05515587529976
O100003,C15390,P208689,Electronics,63.67,0.0,1,UPI,2024-09-14,6,South,No,63.67,5.5,2.14,21,Female,2024,9,September,58.17,91.36170881105701
O100004,C15226,P228063,Home,16.33,0.15,1,COD,2024-12-21,6,East,No,13.88,2.74,1.15,39,Male,2024,12,December,11.14,80.2593659942363
O100005,C15191,P214062,Beauty,53.91,0.1,2,Credit Card,2024-04-14,5,South,No,97.04,6.32,37.35,35,Female,2024,4,April,90.72,93.48722176422093
O100006,C13772,P201363,Electronics,266.5,0.0,1,PayPal,2025-05-20,5,East,No,266.5,9.1,22.88,49,Male,2025,5,May,257.4,96.58536585365853
O100007,C13092,P216691,Beauty,9.98,0.0,1,Credit Card,2023-09-14,4,West,No,9.98,4.51,-0.02,66,Other,2023,9,September,5.470000000000001,54.809619238476955
O100008,C15734,P202751,Fashion,6.61,0.05,1,Debit Card,2023-10-23,6,West,No,6.28,3.43,-1.23,37,Female,2023,10,October,2.85,45.382165605095544
O100009,C16265,P207782,Grocery,10.91,0.0,1,Credit Card,2023-10-31,6,South,No,10.91,2.76,-1.89,56,Male,2023,10,October,8.15,74.70210815765354
O100010,C10466,P217648,Beauty,6.61,0.1,1,Debit Card,2024-02-07,5,South,No,5.95,2.16,0.52,40,Female,2024,2,February,3.79,63.69747899159663
O100011,C15334,P212540,Beauty,16.22,0.0,1,PayPal,2024-07-08,5,South,No,16.22,3.72,3.58,21,Other,2024,7,July,12.499999999999998,77.06535141800246
O100012,C14426,P245991,Grocery,10.56,0.1,1,Credit Card,2024-10-13,4,West,No,9.5,4.99,-4.23,22,Female,2024,10,October,4.51,47.473684210526315
O100013,C15578,P205339,Toys,7.12,0.0,1,Debit Card,2023-11-01,5,North,No,7.12,3.35,-0.5,56,Female,2023,11,November,3.77,52.94943820224719
O100014,C16231,P227020,Home,39.19,0.0,2,Credit Card,2025-02-24,3,North,No,78.38,7.91,14.04,63,Male,2025,2,February,70.47,89.9081398315897
O100015,C13444,P227609,Home,12.63,0.2,4,Credit Card,2024-05-03,3,North,No,40.42,6.19,5.13,36,Male,2024,5,May,34.230000000000004,84.6857991093518
O100016,C13171,P205848,Sports,96.61,0.05,1,PayPal,2024-08-25,4,West,No,91.78,3.6,23.93,47,Male,2024,8,August,88.18,96.07757681412072
O100017,C12919,P216877,Fashion,16.0,0.0,3,PayPal,2024-09-12,5,South,No,48.0,4.48,12.32,37,Male,2024,9,September,43.519999999999996,90.66666666666666
O100018,C17831,P218405,Electronics,302.34,0.0,2,Wallet,2025-06-20,4,South,No,391.76,10.9,80.58125000000001,58,Female,2025,6,June,380.86,97.21768429650807
O100019,C10130,P248629,Fashion,50.52,0.0,1,Credit Card,2024-10-10,3,North,Yes,50.52,6.2,11.48,56,Male,2024,10,October,44.32,87.72763262074426
O100020,C11685,P246233,Toys,17.99,0.0,2,PayPal,2024-05-10,4,West,No,35.98,5.56,8.83,64,Female,2024,5,May,30.419999999999998,84.54697053918844
O100021,C17476,P221471,Fashion,39.54,0.0,1,COD,2024-11-14,6,North,No,39.54,5.3,8.54,49,Other,2024,11,November,34.24,86.59585230146688
O100022,C10769,P203302,Electronics,128.8,0.0,1,Debit Card,2024-12-14,4,North,No,128.8,7.77,7.69,41,Female,2024,12,December,121.03000000000002,93.96739130434783
O100023,C12391,P214437,Fashion,176.45,0.0,1,Debit Card,2025-05-16,7,South,No,176.45,6.67,55.09,34,Male,2025,5,May,169.78,96.21989232077077
O100024,C15611,P247930,Sports,302.34,0.15,2,Debit Card,2024-04-16,5,Central,No,391.76,9.48,80.58125000000001,32,Female,2024,4,April,382.28,97.58015111292627
O100025,C17581,P214512,Beauty,12.49,0.0,3,UPI,2024-08-31,7,East,No,37.47,5.46,11.4,49,Female,2024,8,August,32.01,85.42834267413932
O100026,C16949,P232436,Sports,157.21,0.15,1,Debit Card,2025-08-26,5,South,No,133.63,6.75,33.34,20,Female,2025,8,August,126.88,94.94873905560128
O100027,C12433,P223511,Fashion,11.24,0.0,2,Debit Card,2025-08-19,4,West,No,22.48,6.09,1.78,60,Female,2025,8,August,16.39,72.90925266903915
O100028,C15311,P205022,Grocery,20.97,0.0,2,PayPal,2024-05-27,6,South,No,41.94,4.61,-1.25,61,Female,2024,5,May,37.33,89.00810681926562
O100029,C15051,P243239,Home,54.42,0.0,2,UPI,2023-10-11,6,East,No,108.84,8.05,22.43,36,Female,2023,10,October,100.79,92.60382212421904
O100030,C16420,P206155,Home,54.93,0.15,1,Credit Card,2023-11-12,6,South,No,46.69,5.74,7.33,44,Male,2023,11,November,40.949999999999996,87.70614692653673
O100031,C11184,P231480,Grocery,10.32,0.15,1,Debit Card,2024-04-08,7,East,No,8.77,1.24,-0.54,32,Male,2024,4,April,7.529999999999999,85.86088939566704
O100032,C14555,P238022,Grocery,7.56,0.0,1,Credit Card,2023-12-30,5,North,No,7.56,2.06,-1.46,61,Female,2023,12,December,5.5,72.75132275132276
O100033,C13385,P225332,Sports,22.33,0.05,1,Credit Card,2024-08-06,4,South,No,21.21,4.26,2.1,26,Male,2024,8,August,16.950000000000003,79.91513437057992
O100034,C14117,P204354,Grocery,12.84,0.0,2,Debit Card,2024-08-08,3,North,No,25.68,6.32,-4.27,21,Female,2024,8,August,19.36,75.38940809968847
O100035,C16396,P231847,Beauty,8.89,0.0,2,Credit Card,2024-04-04,4,South,No,17.78,4.78,3.22,19,Female,2024,4,April,13.0,73.11586051743532
O100036,C14843,P235284,Fashion,33.9,0.0,2,Debit Card,2025-05-27,5,South,No,67.8,4.98,18.75,28,Female,2025,5,May,62.81999999999999,92.65486725663716
O100037,C12904,P248640,Fashion,17.92,0.0,1,Credit Card,2024-07-10,5,West,No,17.92,5.86,0.41,28,Male,2024,7,July,12.060000000000002,67.29910714285715
O100038,C17728,P210156,Beauty,50.75,0.0,2,Credit Card,2025-02-13,7,West,No,101.5,6.46,39.22,46,Female,2025,2,February,95.04,93.63546798029557
O100039,C10474,P222453,Beauty,13.11,0.15,1,Credit Card,2024-08-17,6,West,No,11.14,4.4,0.61,51,Female,2024,8,August,6.74,60.502692998204665
O100040,C11082,P232689,Home,297.65,0.1,1,UPI,2023-12-09,4,South,No,267.88,7.49,67.52,20,Female,2023,12,December,260.39,97.20397192772883
O100041,C12558,P223758,Grocery,6.2,0.0,1,COD,2024-03-31,4,West,No,6.2,2.5,-2.0,35,Male,2024,3,March,3.7,59.67741935483871
O100042,C17849,P208838,Home,36.05,0.0,2,COD,2025-02-03,4,North,No,72.1,7.24,12.95,36,Female,2025,2,February,64.86,89.95839112343967
O100043,C12047,P245502,Fashion,47.26,0.15,1,UPI,2023-10-31,5,South,No,40.17,4.94,9.12,48,Male,2023,10,October,35.230000000000004,87.70226537216828
O100044,C17643,P243790,Electronics,302.34,0.0,1,Debit Card,2024-09-27,8,Central,No,313.25,8.96,28.63,53,Male,2024,9,September,304.29,97.13966480446928
O100045,C12747,P237976,Grocery,13.7,0.1,3,COD,2025-04-11,4,West,No,36.99,4.09,-1.13,62,Male,2025,4,April,32.900000000000006,88.94295755609626
O100046,C10975,P249346,Toys,9.07,0.0,3,Debit Card,2024-01-11,5,South,No,27.21,6.05,4.83,30,Female,2024,1,January,21.16,77.76552737963983
O100047,C11806,P213725,Beauty,12.45,0.0,2,Credit Card,2025-05-03,5,West,No,24.9,5.18,6.02,58,Male,2025,5,May,19.72,79.19678714859437
O100048,C10189,P209337,Toys,7.33,0.0,1,Credit Card,2025-03-19,5,North,No,7.33,3.86,-0.93,55,Female,2025,3,March,3.47,47.33969986357435
O100049,C17101,P210701,Toys,53.85,0.05,1,Credit Card,2025-03-12,5,South,No,51.16,5.96,14.5,35,Female,2025,3,March,45.199999999999996,88.35027365129007
O100050,C12734,P229811,Grocery,16.12,0.0,1,COD,2025-07-14,8,East,No,16.12,4.76,-3.47,66,Female,2025,7,July,11.360000000000001,70.47146401985111
O100051,C13005,P243043,Home,195.87,0.0,4,Credit Card,2024-12-31,5,West,No,391.76,10.37,80.58125000000001,43,Female,2024,12,December,381.39,97.35297120686134
O100052,C14658,P238978,Beauty,8.29,0.0,1,PayPal,2024-09-16,4,North,No,8.29,2.98,0.75,67,Male,2024,9,September,5.309999999999999,64.05307599517491
O100053,C11899,P229316,Electronics,302.34,0.0,2,PayPal,2024-01-24,5,South,No,391.76,9.93,80.58125000000001,40,Female,2024,1,January,381.83,97.4652848682867
O100054,C17734,P211544,Grocery,19.94,0.05,1,Debit Card,2023-12-29,6,East,No,18.94,4.96,-3.44,55,Female,2023,12,December,13.98,73.81203801478352
O100055,C11267,P221514,Grocery,6.52,0.0,2,Debit Card,2023-11-23,5,South,No,13.04,4.73,-3.69,60,Male,2023,11,November,8.309999999999999,63.726993865030664
O100056,C16975,P216327,Toys,5.38,0.1,1,COD,2023-12-18,3,Central,No,4.84,3.91,-1.97,57,Female,2023,12,December,0.9299999999999997,19.214876033057845
O100057,C11528,P246809,Home,167.21,0.0,4,Wallet,2023-12-06,3,North,No,391.76,8.88,80.58125000000001,37,Female,2023,12,December,382.88,97.73330610577905
O100058,C13202,P216705,Home,134.37,0.15,1,Wallet,2024-10-30,3,Central,No,114.21,6.65,25.33,53,Male,2024,10,October,107.55999999999999,94.17739252254617
O100059,C13556,P210479,Home,122.85,0.0,3,COD,2024-08-16,4,North,No,368.55,7.27,80.58125000000001,69,Female,2024,8,August,361.28000000000003,98.02740469407136
O100060,C13890,P211323,Fashion,14.91,0.0,1,UPI,2024-12-01,5,West,No,14.91,4.93,0.29,69,Male,2024,12,December,9.98,66.93494299128102
O100061,C10646,P212937,Beauty,10.46,0.0,1,Credit Card,2023-11-13,4,North,No,10.46,3.14,1.57,25,Other,2023,11,November,7.32,69.98087954110899
O100062,C16164,P223089,Electronics,302.34,0.0,1,Debit Card,2024-06-26,6,West,No,368.67,9.91,34.33,36,Male,2024,6,June,358.76,97.31195920470881
O100063,C12888,P201702,Grocery,13.52,0.1,1,Debit Card,2025-06-24,5,West,No,12.17,2.07,-1.1,22,Female,2025,6,June,10.1,82.99096138044371
O100064,C16310,P210404,Home,116.53,0.05,1,Credit Card,2024-01-22,4,West,No,110.7,6.97,24.03,59,Male,2024,1,January,103.73,93.7037037037037
O100065,C15393,P233598,Grocery,20.24,0.0,1,COD,2025-06-23,5,North,No,20.24,4.74,-3.12,65,Male,2025,6,June,15.499999999999998,76.58102766798419
O100066,C12435,P208380,Sports,175.75,0.15,1,Debit Card,2025-09-03,5,West,No,149.39,6.15,38.67,58,Female,2025,9,September,143.23999999999998,95.88325858491197
O100067,C10600,P221990,Fashion,20.91,0.0,1,UPI,2024-02-14,4,North,Yes,20.91,4.04,3.28,50,Male,2024,2,February,16.87,80.67910090865615
O100068,C12363,P232859,Fashion,13.43,0.0,4,PayPal,2023-12-15,4,South,No,53.72,6.26,12.54,30,Male,2023,12,December,47.46,88.34698436336559
